,0
0,the
1,be
2,been
3,is
4,are
5,was
6,were
7,am
8,of
9,and
10,a
11,an
12,to
13,in
14,he
15,him
16,his
17,have
18,has
19,had
20,it
21,that
22,for
23,they
24,I
25,me
26,my
27,with
28,within
28,without
29,as
30,not
31,on
32,she
33,her
34,hers
35,at
36,by
37,this
38,these
39,we
40,us
41,our
42,ours
43,you
44,your
45,yours
46,yourself
47,do
48,does
49,did
50,done
51,but
52,from
53,or
54,which
55,whichever
56,one
57,would
58,all
59,will
60,willing
61,willingly
62,unwilling
63,there
64,say
65,says
66,said
67,saying
68,who
69,whoever
70,whom
71,make
72,makes
73,made
74,making
75,maker
76,when
77,whenever
78,can
79,could
80,more
81,moreover
82,if
83,no
84,nobody
85,nowhere
86,man
87,mankind
88,men
89,manhood
90,out
91,outline
92,outside
93,outward
94,other
95,otherwise
96,others
97,so
98,what
99,whatever
100,time
101,times
102,timely
103,up
104,go
105,goes
106,gone
107,about
108,than
109,into
112,state
113,states
114,stated
115,stating
116,statement
117,only
118,new
119,news
120,newspaper
121,newly
122,year
123,years
124,yearly
125,some
126,take
127,takes
128,took
129,taken
130,taking
131,come
132,comes
133,came
134,coming
137,know
138,knowledge
139,knows
140,knew
141,knowing
142,see
143,sees
144,seen
145,seeing
146,use
147,uses
148,used
149,using
150,useful
151,usefulness
152,useless
153,user
154,get
155,gets
156,got
157,like
158,likely
159,likes
160,liked
161,liking
162,unlike
163,then
164,first
165,any
166,work
167,works
168,worked
169,working
170,workings
171,worker
172,workman
173,workshop
174,workmanship
175,now
176,nowadays
177,may
178,such
179,give
180,gift
181,gives
182,given
183,gave
184,giving
185,over
186,overcome
187,overflow
188,think
189,thinks
190,thought
191,thinking
192,thinker
193,most
194,mostly
195,even
196,find
197,finds
198,found
199,finding
200,day
201,daily
202,daylight
203,days
204,also
205,after
206,way
207,ways
208,wayside
209,many
210,must
211,look
212,looks
213,looked
214,looking
215,before
216,great
217,greatcoat
218,greatly
219,greatness
220,back
221,backward
222,backbone
223,background
224,through
225,throughout
226,long
227,where
228,wherever
229,much
230,should
231,shall
232,well
233,people
234,down
235,own
236,ownership
237,owns
238,owned
239,owning
240,owner
241,just
242,justice
243,justly
244,unjust
245,unjustly
246,because
247,good
248,each
249,those
250,feel
251,feels
252,felt
253,feeling
254,seem
255,seems
256,seemed
257,seeming
258,how
259,however
260,high
261,height
262,heighten
263,highway
264,too
265,place
266,places
267,placed
268,placing
269,little
270,world
271,worldwide
272,worldly
273,worldliness
274,very
275,still
276,stillness
277,nation
278,native
279,international
280,nations
281,national
282,hand
283,handkerchief
284,handle
285,handshake
286,handwriting
287,hands
288,handy
289,old
290,old-fashioned
291,older
292,oldest
293,life
294,live
295,lives
296,tell
297,tells
298,told
299,telling
300,write
301,writes
302,wrote
303,writing
304,become
305,becomes
306,became
307,becoming
308,here
309,show
310,shows
311,shown
312,showing
313,showy
314,house
315,houses
316,household
317,householder
318,housewife
319,both
320,between
321,need
322,necessary
323,necessity
324,needs
325,needed
326,needing
327,needless
328,needy
329,mean
330,meantime
331,meanwhile
332,meant
333,meaning
334,means
335,call
336,calls
337,called
338,calling
339,develop
340,develops
341,developed
342,developing
343,development
344,under
345,underneath
346,last
347,right
348,rightly
349,move
350,moves
351,movement
352,thing
353,things
354,general
355,generally
356,school
357,schools
358,never
359,same
360,another
361,begin
362,begins
363,began
364,begun
365,beginning
366,beginnings
367,while
368,whilst
369,number
370,numerous
371,numbers
372,part
373,particle
374,parts
375,partly
376,partial
377,partially
378,turn
379,turns
380,turning
381,real
382,realise
383,really
384,reality
385,leave
386,leaves
387,leaving
388,might
389,want
390,wants
391,wanted
392,wanting
393,point
394,points
395,pointed
396,pointer
397,form
398,forms
399,formed
400,forming
401,off
402,child
403,childhood
404,children
405,childish
406,childlike
407,few
408,small
409,smallness
410,since
411,against
